,id,name,start_date,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,sport_type,gear_id,average_speed,max_speed
118,6155462822,Morning Ride,2021-10-23T11:12:53Z,2021-10-23T08:12:53Z,Ride,24684.8,6316,16576,527.3,Ride,b9757407,3.908,14.087
119,6179505452,Morning Ride,2021-10-22T10:40:16Z,2021-10-22T07:40:16Z,Ride,16265.2,3768,4336,288.0,Ride,b9757407,4.317,12.27
120,6127037436,Morning Ride - Big Day,2021-10-17T11:34:36Z,2021-10-17T08:34:36Z,Ride,25358.6,6603,10306,587.6,Ride,b9757407,3.84,13.1
121,6123026176,Afternoon Ride ,2021-10-16T17:44:45Z,2021-10-16T14:44:45Z,Ride,26562.9,5591,7048,263.6,Ride,b9757407,4.751,12.9
122,6116409878,Morning Ride,2021-10-15T10:35:53Z,2021-10-15T07:35:53Z,Ride,21183.8,5666,6225,472.0,Ride,b9757407,3.739,12.1
123,6087566484,Morning Ride - Big Line,2021-10-09T11:13:41Z,2021-10-09T08:13:41Z,Ride,26252.9,6676,13307,644.1,Ride,b9757407,3.932,13.3
124,6047221472,Morning Ride,2021-10-01T10:20:27Z,2021-10-01T07:20:27Z,Ride,27789.0,5058,5101,389.0,Ride,b9757407,5.494,11.9
125,6032266489,Morning Ride,2021-09-28T10:31:10Z,2021-09-28T07:31:10Z,Ride,26639.1,4547,4603,379.0,Ride,b9757407,5.859,12.9
126,6017443767,Morning Ride - Big LINE ++,2021-09-25T10:43:52Z,2021-09-25T07:43:52Z,Ride,26643.7,9031,17272,756.2,Ride,b9757407,2.95,13.1
127,6008483000,Morning Ride,2021-09-23T10:33:07Z,2021-09-23T07:33:07Z,Ride,13726.6,4468,5118,513.0,Ride,b9757407,3.072,9.9
128,5995421082,Morning Ride,2021-09-21T10:37:35Z,2021-09-21T07:37:35Z,Ride,27282.3,4638,4638,370.0,Ride,b9757407,5.882,12.2
129,5986002457,Morning Ride - Big Day ++,2021-09-19T11:20:59Z,2021-09-19T08:20:59Z,Ride,25235.9,6020,10317,581.0,Ride,b9757407,4.192,14.7
130,5980652544,Morning Ride - Big Day,2021-09-18T11:17:24Z,2021-09-18T08:17:24Z,Ride,28979.1,7354,15645,548.9,Ride,b9757407,3.941,14.2
131,5970042157,Morning Ride,2021-09-16T10:38:05Z,2021-09-16T07:38:05Z,Ride,26135.3,4126,4157,313.0,Ride,b6373415,6.334,14.5
132,5936946934,Morning Ride,2021-09-10T10:38:46Z,2021-09-10T07:38:46Z,Ride,12010.5,4179,5165,421.0,Ride,b6373415,2.874,10.6
133,5931753216,Morning Ride,2021-09-09T10:34:44Z,2021-09-09T07:34:44Z,Ride,27314.4,4386,4408,354.0,Ride,b6373415,6.228,12.6
134,5892936081,Morning Ride,2021-09-02T10:29:16Z,2021-09-02T07:29:16Z,Ride,26911.7,4770,4850,401.0,Ride,b6373415,5.642,14.1
135,5881923653,Morning Ride,2021-08-31T10:23:30Z,2021-08-31T07:23:30Z,Ride,30171.5,4461,4461,296.0,Ride,b6373415,6.763,17.1
136,5856061299,Morning Ride,2021-08-26T10:41:34Z,2021-08-26T07:41:34Z,Ride,26780.5,4438,4467,365.0,Ride,b6373415,6.034,13.6
137,5828509199,Morning Ride,2021-08-21T11:15:35Z,2021-08-21T08:15:35Z,Ride,24939.0,4556,4992,318.2,Ride,b6373415,5.474,10.9
138,5823065313,Morning Ride,2021-08-20T10:23:50Z,2021-08-20T07:23:50Z,Ride,26166.6,4335,4360,328.0,Ride,b6373415,6.036,13.3
139,5786749366,Morning Ride,2021-08-13T10:35:34Z,2021-08-13T07:35:34Z,Ride,24712.2,4282,4364,312.0,Ride,b6373415,5.771,13.9
140,5774931130,Morning Ride,2021-08-11T10:39:39Z,2021-08-11T07:39:39Z,Ride,27215.6,4704,4729,362.0,Ride,b6373415,5.786,11.8
141,5753547378,Morning Ride,2021-08-07T10:56:08Z,2021-08-07T07:56:08Z,Ride,57458.2,10922,12431,673.1,Ride,b6373415,5.261,13.4
142,5717703826,Afternoon Ride,2021-07-31T17:33:09Z,2021-07-31T14:33:09Z,Ride,25140.4,4602,5180,316.0,Ride,b6373415,5.463,12.5
143,5679451378,Morning Ride,2021-07-24T11:31:03Z,2021-07-24T08:31:03Z,Ride,52426.9,10031,10056,831.1,Ride,b6373415,5.226,15.7
144,5651997405,Morning Ride,2021-07-19T10:34:07Z,2021-07-19T07:34:07Z,Ride,27285.4,4707,4707,362.0,Ride,b6373415,5.797,12.8
145,5649399692,Afternoon Ride - The return,2021-07-18T17:35:15Z,2021-07-18T14:35:15Z,Ride,33203.1,5925,6073,450.7,Ride,b6373415,5.604,14.2
146,5568870317,Morning Ride,2021-07-03T12:58:25Z,2021-07-03T09:58:25Z,Ride,45252.6,7384,8354,434.7,Ride,b6373415,6.128,12.2
147,5542434979,Morning Ride,2021-06-28T10:30:39Z,2021-06-28T07:30:39Z,Ride,27384.7,4579,4579,374.0,Ride,b6373415,5.98,11.7
148,5531508270,Morning Ride,2021-06-26T09:34:19Z,2021-06-26T06:34:19Z,Ride,39348.1,7651,9479,573.6,Ride,b6373415,5.143,12.4
149,5495322239,Morning Ride,2021-06-19T11:13:32Z,2021-06-19T08:13:32Z,Ride,35450.3,6921,8312,442.5,Ride,b6373415,5.122,11.4
150,5490620846,Morning Ride,2021-06-18T10:32:48Z,2021-06-18T07:32:48Z,Ride,25612.5,4716,4820,438.0,Ride,b6373415,5.431,12.4
151,5479435624,Morning Ride,2021-06-16T10:42:02Z,2021-06-16T07:42:02Z,Ride,26461.8,4480,4480,385.0,Ride,b6373415,5.907,14.3
152,5457570564,Morning Ride,2021-06-12T10:07:09Z,2021-06-12T07:07:09Z,Ride,60932.4,12382,16542,915.0,Ride,b6373415,4.921,15.1
153,5411861442,Morning Ride,2021-06-04T10:46:51Z,2021-06-04T07:46:51Z,Ride,52346.1,9125,9125,864.0,Ride,b6373415,5.737,17.2
154,5400278395,Morning Ride,2021-06-02T10:47:04Z,2021-06-02T07:47:04Z,Ride,32154.0,4443,4443,260.0,Ride,b6373415,7.237,14.5
155,5379415050,Afternoon Ride,2021-05-29T17:41:37Z,2021-05-29T14:41:37Z,Ride,44596.3,7873,8678,622.0,Ride,b6373415,5.664,13.3
156,5360813296,Morning Ride,2021-05-26T11:02:16Z,2021-05-26T08:02:16Z,Ride,25523.3,4589,4833,420.0,Ride,b6373415,5.562,12.8
157,5350056944,Morning Ride,2021-05-24T10:41:37Z,2021-05-24T07:41:37Z,Ride,25457.9,3764,3788,276.0,Ride,b6373415,6.764,14.1
158,5339251602,Morning Ride,2021-05-22T10:13:50Z,2021-05-22T07:13:50Z,Ride,51862.1,10831,15029,764.3,Ride,b6373415,4.788,12.4
159,5333602538,Morning Ride,2021-05-21T10:39:01Z,2021-05-21T07:39:01Z,Ride,23472.8,4088,4148,283.0,Ride,b6373415,5.742,13.8
160,5322884517,Morning Ride,2021-05-19T10:34:20Z,2021-05-19T07:34:20Z,Ride,26250.5,3865,3983,320.0,Ride,b6373415,6.792,15.6
161,5312374728,Morning Ride,2021-05-17T10:53:34Z,2021-05-17T07:53:34Z,Ride,27259.9,4358,4384,369.0,Ride,b6373415,6.255,12.4
162,5296121848,Morning Ride,2021-05-14T10:50:41Z,2021-05-14T07:50:41Z,Ride,32140.2,4352,4575,253.0,Ride,b6373415,7.385,14.1
163,5283968315,Morning Ride,2021-05-12T10:42:34Z,2021-05-12T07:42:34Z,Ride,31253.0,4786,4861,352.0,Ride,b6373415,6.53,13.7
