,id,name,start_date_local,type,distance,moving_time,elapsed_time,total_elevation_gain,start_latlng,end_latlng,external_id
128,5986002457,Morning Ride - Big Day ++,2021-09-19T08:20:59Z,Ride,25235.9,6020,10317,581.0,"[-22.159436, -43.290315]","[-22.159355, -43.290353]",garmin_push_7517429397
129,5980652544,Morning Ride - Big Day,2021-09-18T08:17:24Z,Ride,28979.1,7354,15645,548.9,"[-22.159395, -43.290312]","[-22.15934, -43.290354]",garmin_push_7511627374
130,5970042157,Morning Ride,2021-09-16T07:38:05Z,Ride,26135.3,4126,4157,313.0,"[-22.160256, -43.290443]","[-22.159362, -43.290395]",garmin_push_7499790256
131,5936946934,Morning Ride,2021-09-10T07:38:46Z,Ride,12010.5,4179,5165,421.0,"[-22.159416, -43.290368]","[-22.159359, -43.290492]",garmin_push_7462514337
132,5931753216,Morning Ride,2021-09-09T07:34:44Z,Ride,27314.4,4386,4408,354.0,"[-22.158866, -43.290385]","[-22.159369, -43.290424]",garmin_push_7456600181
133,5892936081,Morning Ride,2021-09-02T07:29:16Z,Ride,26911.7,4770,4850,401.0,"[-22.159429, -43.290391]","[-22.159526, -43.2904]",garmin_push_7413435599
134,5881923653,Morning Ride,2021-08-31T07:23:30Z,Ride,30171.5,4461,4461,296.0,"[-22.159281, -43.290302]","[-22.159367, -43.290419]",garmin_push_7401320060
135,5856061299,Morning Ride,2021-08-26T07:41:34Z,Ride,26780.5,4438,4467,365.0,"[-22.160349, -43.29155]","[-22.15943, -43.290433]",garmin_push_7373119370
136,5828509199,Morning Ride,2021-08-21T08:15:35Z,Ride,24939.0,4556,4992,318.2,"[-22.159422, -43.29029]","[-22.159412, -43.290399]",garmin_push_7343539495
137,5823065313,Morning Ride,2021-08-20T07:23:50Z,Ride,26166.6,4335,4360,328.0,"[-22.160109, -43.290325]","[-22.159394, -43.290486]",garmin_push_7337564484
138,5786749366,Morning Ride,2021-08-13T07:35:34Z,Ride,24712.2,4282,4364,312.0,"[-22.158752, -43.29044]","[-22.159372, -43.290424]",garmin_push_7298346957
139,5774931130,Morning Ride,2021-08-11T07:39:39Z,Ride,27215.6,4704,4729,362.0,"[-22.158695, -43.290513]","[-22.159367, -43.290369]",garmin_push_7285373298
140,5753547378,Morning Ride,2021-08-07T07:56:08Z,Ride,57458.2,10922,12431,673.1,"[-22.159415, -43.290297]","[-22.159367, -43.290391]",garmin_push_7262067700
